rspo,id_organ_prowadzacy
92286,2480
92288,2480
91282,2480
92742,254994
105427,254994
105458,254994
105577,273616
120889,238968
126543,247275
133401,261289
270527,86
270528,86
89626,86
277259,273249
79934,2480
90305,2480
90316,2480
87073,237709
92401,237709
92404,237709
91130,248776
91139,271061
91140,478991
478459,87
91129,87
90931,87
478494,273607
3532,269511
3557,269508
3568,269505
50475,269506
51856,88
61345,269505
61352,264691
61357,88
61358,264691
61481,88
275928,2480
84640,88
56131,88
91201,88
86765,2480
92044,2480
122858,2480
92045,2480
87840,242060
92745,266118
105812,273725
105869,2480
268493,2480
106214,2480
106227,2480
130490,2480
118786,273617
274401,274399
275189,2
74466,2
127974,2
278686,249682
46537,89
47120,89
47628,89
49653,89
49689,89
49789,89
49793,89
50241,264687
52438,89
52495,89
58624,89
92681,237634
268105,237634
40077,90
40082,90
478539,90
40079,90
40080,90
16442,91
122538,91
122528,91
105151,92
106292,92
106291,92
105168,92
263325,92
3555,270408
4077,270408
4076,270408
9264,93
9458,93
9351,93
9489,93
9609,93
9582,93
10218,93
52917,93
52916,93
57092,5
68225,5
478976,5
72540,5
87142,225121
87413,225121
126618,251525
119386,251525
4891,251525
128751,251525
267914,93
10310,93
10309,93
17414,94
21196,94
21194,94
17415,94
21193,94
21192,94
66124,263023
81128,263023
81131,263023
268596,94
268652,94
21191,94
272580,94
17416,94
21197,94
63310,95
90719,271080
109154,95
63311,95
109425,95
109432,95
109441,95
89581,96
89989,96
90527,267017
103604,267017
103610,267017
11453,2481
13324,2481
88954,2481
105477,2481
89004,2481
63485,97
63486,97
63488,97
63490,97
84817,258592
109454,271062
264732,264727
80570,98
80849,98
80850,98
50310,98
87243,98
87183,98
104744,98
107659,98
480567,98
104261,98
87154,98
59841,99
73113,99
125518,244607
125521,244607
478524,478522
478524, 478523
56233,100
56237,100
56238,100
130607,100
262458,100
88467,101
91357,101
91355,101
262881,262878
274442,248605
126577,278773
126577, 278774
277450,102
277451,102
110365,102
480115,102
480116,102
110548,102
20466,103
20468,103
20469,103
123817,274441
262451,103
12461,104
26443,104
11438,2482
18895,2482
19268,2482
11439,2482
19431,2482
262427,2482
19461,2482
19485,2482
11440,2482
19387,2482
19405,2482
479092,2482
11442,2482
20305,2482
20398,2482
11446,2482
11447,2482
11448,2482
11451,204105
18464,204105
19983,204105
268304,204105
63987,105
84444,105
84447,105
84450,105
84451,105
84452,105
84453,223949
84454,261224
113502,2482
11449,2482
113666,2482
127272,263532
270128,270127
274026,274025
11445,2482
79313,106
90432,106
86188,106
80118,106
276334,276333
5661,107
58239,107
58222,107
14197,271337
14209,271139
14257,276243
56043,107
61625,107
132704,271141
43990,108
58156,108
58146,108
118403,108
118639,108
54446,108
118419,108
118640,108
44439,108
267939,108
267989,108
54449,108
57071,2851
73626,2851
73627,2851
69164,2851
85919,109
85937,109
85953,109
86069,109
16957,110
272141,2482
262435,2482
20585,2482
272142,2482
22049,2482
34563,111
118688,111
121368,111
3807,261681
3975,242454
3991,271719
4070,262195
4089,271719
4095,270006
4413,271714
10022,2483
10930,2483
10928,2483
10927,2483
10075,112
10077,112
10078,112
10079,112
10080,112
11713,2483
11714,2483
11715,2483
107346,2483
107344,2483
11716,2483
133516,2483
107330,2483
8366,2483
113851,2483
12788,2483
13945,112
13946,112
13947,112
13948,112
13949,112
13950,112
13951,112
13952,112
13953,112
13954,112
13955,112
13956,112
14397,112
15855,202869
35045,2
44128,263939
57090,2851
72539,2851
72538,2851
88406,112
89692,232785
91231,262195
91232,262195
91236,271719
92211,268462
92376,271264
107054,112
107091,112
107150,112
107394,232785
118753,263939
111877,263939
111878,263939
119997,262195
121325,239366
