id,kod
1197,05-304
1198,05-306
1199,05-307
1200,05-310
1201,05-311
1202,05-317
1203,05-319
1204,05-320
1205,05-326
1206,05-332
1207,05-334
1208,05-340
1209,05-400
1210,05-402
1211,05-408
1212,05-410
1213,05-420
1214,05-430
1215,05-462
1216,05-480
1217,05-500
1218,05-501
1219,05-502
1220,05-503
1221,05-504
1222,05-505
1223,05-506
1224,05-507
1225,05-509
1226,05-510
1227,05-515
1228,05-520
1229,05-530
1230,05-532
1231,05-540
1232,05-552
1233,05-555
1234,05-600
1235,05-604
1236,05-610
1237,05-620
1238,05-622
1239,05-640
1240,05-650
1241,05-651
1242,05-652
1243,05-660
1244,05-800
1245,05-803
1246,05-804
1247,05-805
1248,05-806
1249,05-807
1250,05-808
1251,05-816
1252,05-820
1253,05-822
1254,05-825
1255,05-827
1256,05-830
1257,05-831
1258,05-840
1259,05-850
1260,05-860
1261,05-870
1262,06-100
1263,06-102
1264,06-114
1265,06-120
1266,06-121
1267,06-126
1268,06-150
1269,06-200
1270,06-210
1271,06-211
1272,06-212
1273,06-213
1274,06-214
1275,06-216
1276,06-220
1277,06-225
1278,06-230
1279,06-231
1280,06-232
1281,06-300
1282,06-316
1283,06-320
1284,06-323
1285,06-330
1286,06-333
1287,06-400
1288,06-406
1289,06-408
1290,06-410
1291,06-413
1292,06-415
1293,06-420
1294,06-425
1295,06-430
1296,06-440
1297,06-445
1298,06-450
1299,06-452
1300,06-456
1301,06-458
1302,06-460
1303,06-461
1304,06-500
1305,06-513
1306,06-516
1307,06-520
1308,06-521
1309,06-540
1310,06-545
1311,06-550
1312,06-560
1313,06-561
1314,06-600
1315,07-100
1316,07-104
1317,07-106
1318,07-110
1319,07-111
1320,07-120
1321,07-130
1322,07-132
1323,07-140
1324,07-200
1325,07-201
1326,07-202
1327,07-203
1328,07-205
1329,07-206
1330,07-207
1331,07-210
1332,07-211
1333,07-214
1334,07-215
1335,07-217
1336,07-221
1337,07-230
1338,07-300
1339,07-302
1340,07-303
1341,07-304
1342,07-305
1343,07-306
1344,07-308
1345,07-310
1346,07-311
1347,07-319
1348,07-320
1349,07-322
1350,07-323
1351,07-324
1352,07-325
1353,07-400
1354,07-401
1355,07-402
1356,07-405
1357,07-407
1358,07-409
1359,07-410
1360,07-411
1361,07-412
1362,07-415
1363,07-416
1364,07-417
1365,07-420
1366,07-430
1367,07-431
1368,07-436
1369,07-437
1370,07-438
1371,07-440
1372,07-783
1373,08-101
1374,08-103
1375,08-106
1376,08-107
1377,08-108
1378,08-109
1379,08-110
1380,08-111
1381,08-112
1382,08-113
1383,08-114
1384,08-116
1385,08-117
1386,08-124
1387,08-125
1388,08-130
1389,08-140
1390,08-200
1391,08-205
1392,08-206
1393,08-207
1394,08-210
1395,08-220
1396,08-300
1397,08-304
1398,08-307
1399,08-311
1400,08-320
1401,08-322
1402,08-330
1403,08-331
1404,08-400
1405,08-404
1406,08-410
1407,08-412
1408,08-420
1409,08-430
1410,08-440
1411,08-441
1412,08-443
1413,08-445
1414,08-450
1415,08-455
1416,08-460
1417,08-470
1418,08-480
1419,08-500
1420,08-503
1421,08-504
1422,08-521
1423,08-530
1424,08-540
1425,08-550
1426,09-100
1427,09-110
1428,09-120
1429,09-130
1430,09-131
1431,09-135
1432,09-140
1433,09-142
1434,09-150
1435,09-151
1436,09-152
1437,09-162
1438,09-164
1439,09-166
1440,09-200
1441,09-204
1442,09-210
1443,09-213
1444,09-214
1445,09-215
1446,09-226
1447,09-227
1448,09-228
1449,09-230
1450,09-300
1451,09-303
1452,09-304
1453,09-310
1454,09-317
1455,09-320
1456,09-400
1457,09-401
1458,09-402
1459,09-403
1460,09-407
1461,09-408
1462,09-409
1463,09-410
1464,09-411
1465,09-412
1466,09-414
1467,09-440
1468,09-442
1469,09-450
1470,09-451
1471,09-454
1472,09-460
1473,09-470
1474,09-472
1475,09-500
1476,09-505
1477,09-506
1478,09-520
1479,09-530
1480,09-533
1481,09-540
1482,09-541
1483,09-550
1484,10-003
1485,10-004
1486,10-006
1487,10-019
1488,10-029
1489,10-038
1490,10-039
1491,10-040
1492,10-041
1493,10-044
1494,10-045
1495,10-048
1496,10-049
1497,10-052
1498,10-059
1499,10-060
1500,10-061
1501,10-062
1502,10-075
1503,10-088
1504,10-089
1505,10-092
1506,10-103
1507,10-104
1508,10-106
1509,10-110
1510,10-113
1511,10-117
1512,10-118
1513,10-136
1514,10-144
1515,10-147
1516,10-148
1517,10-149
1518,10-150
1519,10-162
1520,10-165
1521,10-166
1522,10-168
1523,10-170
1524,10-178
1525,10-208
1526,10-220
1527,10-224
1528,10-228
1529,10-242
1530,10-243
1531,10-253
1532,10-256
1533,10-260
1534,10-271
1535,10-274
1536,10-275
1537,10-280
1538,10-282
1539,10-283
1540,10-287
1541,10-295
1542,10-314
1543,10-321
1544,10-371
1545,10-381
1546,10-408
1547,10-416
1548,10-418
1549,10-424
1550,10-427
1551,10-431
1552,10-437
1553,10-438
1554,10-444
1555,10-445
1556,10-446
1557,10-447
1558,10-449
1559,10-450
1560,10-456
1561,10-457
1562,10-461
1563,10-465
1564,10-466
1565,10-467
1566,10-503
1567,10-507
1568,10-509
1569,10-511
1570,10-512
1571,10-514
1572,10-516
1573,10-519
1574,10-527
1575,10-532
1576,10-537
1577,10-546
1578,10-547
1579,10-548
1580,10-551
1581,10-553
1582,10-558
1583,10-560
1584,10-561
1585,10-562
1586,10-576
1587,10-577
1588,10-578
1589,10-579
1590,10-601
1591,10-602
1592,10-603
1593,10-608
1594,10-626
1595,10-683
1596,10-684
1597,10-685
1598,10-686
1599,10-687
1600,10-689
1601,10-690
1602,10-691
1603,10-692
1604,10-693
1605,10-698
1606,10-699
1607,10-701
1608,10-721
1609,10-738
1610,10-802
1611,10-818
1612,10-822
1613,10-830
1614,10-900
1615,11-001
1616,11-008
1617,11-010
1618,11-015
1619,11-030
1620,11-034
1621,11-035
1622,11-036
1623,11-040
1624,11-041
1625,11-042
1626,11-100
1627,11-106
1628,11-130
1629,11-135
1630,11-200
1631,11-210
1632,11-214
1633,11-220
1634,11-230
1635,11-300
1636,11-311
1637,11-320
1638,11-400
1639,11-410
1640,11-420
1641,11-430
1642,11-440
1643,11-500
1644,11-510
1645,11-513
1646,11-520
1647,11-600
1648,11-606
1649,11-610
1650,11-612
1651,11-700
1652,11-710
1653,11-730
1654,11-731
1655,12-100
1656,12-114
1657,12-120
1658,12-122
1659,12-130
1660,12-140
1661,12-150
1662,12-160
1663,12-200
1664,12-220
1665,12-230
1666,12-240
1667,12-250
1668,13-100
1669,13-111
1670,13-113
1671,13-124
1672,13-200
1673,13-203
1674,13-206
1675,13-220
1676,13-230
1677,13-240
1678,13-300
1679,13-304
1680,13-306
1681,13-324
1682,13-330
1683,13-332
1684,13-334
1685,13-340
1686,14-100
1687,14-105
1688,14-106
1689,14-107
1690,14-120
1691,14-133
1692,14-140
1693,14-200
1694,14-202
1695,14-204
1696,14-220
1697,14-229
1698,14-230
1699,14-240
1700,14-241
1701,14-260
1702,14-300
1703,14-310
1704,14-330
1705,14-400
1706,14-405
1707,14-407
1708,14-411
1709,14-420
1710,14-500
1711,14-520
1712,14-521
1713,14-526
1714,14-530
1715,15-001
1716,15-002
1717,15-003
1718,15-008
1719,15-013
1720,15-016
1721,15-017
1722,15-021
1723,15-024
1724,15-027
1725,15-028
1726,15-029
1727,15-034
1728,15-040
1729,15-042
1730,15-045
1731,15-048
1732,15-054
1733,15-062
1734,15-063
1735,15-066
1736,15-071
1737,15-077
1738,15-080
1739,15-082
1740,15-083
1741,15-085
1742,15-087
1743,15-091
1744,15-092
1745,15-097
1746,15-099
1747,15-101
1748,15-102
1749,15-111
1750,15-130
1751,15-131
1752,15-136
1753,15-145
1754,15-151
1755,15-155
1756,15-157
1757,15-161
1758,15-166
1759,15-167
1760,15-181
1761,15-182
1762,15-191
1763,15-197
1764,15-199
1765,15-201
1766,15-202
1767,15-204
1768,15-206
1769,15-207
1770,15-213
1771,15-215
1772,15-225
1773,15-227
1774,15-229
1775,15-232
1776,15-249
1777,15-252
1778,15-257
1779,15-267
1780,15-269
1781,15-274
1782,15-278
1783,15-281
1784,15-282
1785,15-298
1786,15-301
1787,15-302
1788,15-306
1789,15-307
1790,15-312
1791,15-325
1792,15-328
1793,15-337
1794,15-338
1795,15-339
1796,15-345
1797,15-349
1798,15-351
1799,15-352
1800,15-354
1801,15-361
1802,15-363
1803,15-370
1804,15-371
1805,15-380
1806,15-396
1807,15-399
1808,15-404
1809,15-410
1810,15-419
1811,15-424
1812,15-428
1813,15-430
1814,15-436
1815,15-440
1816,15-443
1817,15-445
1818,15-446
1819,15-449
1820,15-459
1821,15-461
1822,15-472
1823,15-476
1824,15-480
1825,15-483
1826,15-489
1827,15-502
1828,15-509
1829,15-523
1830,15-540
1831,15-545
1832,15-548
1833,15-551
1834,15-552
1835,15-553
1836,15-559
1837,15-560
1838,15-567
1839,15-571
1840,15-572
1841,15-584
1842,15-592
1843,15-612
1844,15-614
1845,15-616
1846,15-617
1847,15-634
1848,15-640
1849,15-642
1850,15-644
1851,15-649
1852,15-656
1853,15-657
1854,15-660
1855,15-661
1856,15-662
1857,15-665
1858,15-666
1859,15-668
1860,15-669
1861,15-673
1862,15-674
1863,15-680
1864,15-685
1865,15-687
1866,15-688
1867,15-689
1868,15-694
1869,15-701
1870,15-702
1871,15-703
1872,15-704
1873,15-720
1874,15-724
1875,15-727
1876,15-732
1877,15-740
1878,15-741
1879,15-743
1880,15-748
1881,15-757
1882,15-762
1883,15-771
1884,15-773
1885,15-774
1886,15-777
1887,15-779
1888,15-788
1889,15-794
1890,15-795
1891,15-806
1892,15-808
1893,15-809
1894,15-814
1895,15-815
1896,15-820
1897,15-827
1898,15-839
1899,15-840
1900,15-843
1901,15-845
1902,15-850
1903,15-863
1904,15-865
1905,15-868
1906,15-869
1907,15-872
1908,15-873
1909,15-874
1910,15-875
1911,15-879
1912,15-888
1913,15-889
1914,15-893
1915,15-950
1916,16-001
1917,16-002
1918,16-010
1919,16-020
1920,16-030
1921,16-040
1922,16-050
1923,16-060
1924,16-061
1925,16-070
1926,16-075
1927,16-080
1928,16-100
1929,16-113
1930,16-120
1931,16-123
1932,16-124
1933,16-130
1934,16-140
1935,16-150
1936,16-200
1937,16-205
1938,16-300
1939,16-304
1940,16-310
1941,16-315
1942,16-320
1943,16-326
1944,16-400
1945,16-402
1946,16-404
1947,16-406
1948,16-407
1949,16-411
1950,16-420
1951,16-423
1952,16-424
1953,16-427
1954,16-500
1955,16-503
1956,16-506
1957,16-515
1958,17-100
1959,17-106
1960,17-111
1961,17-120
1962,17-123
1963,17-132
1964,17-200
1965,17-204
1966,17-207
1967,17-210
1968,17-220
1969,17-230
1970,17-240
1971,17-250
1972,17-300
1973,17-306
1974,17-307
1975,17-312
1976,17-315
1977,17-322
1978,17-330
1979,17-332
1980,18-100
1981,18-105
1982,18-106
1983,18-112
1984,18-200
1985,18-204
1986,18-208
1987,18-210
1988,18-212
1989,18-214
1990,18-218
1991,18-220
1992,18-230
1993,18-300
1994,18-305
1995,18-312
1996,18-315
1997,18-400
1998,18-402
1999,18-411
2000,18-413
2001,18-414
2002,18-416
2003,18-420
2004,18-421
2005,18-423
2006,18-430
2007,18-500
2008,18-507
2009,18-516
2010,18-520
2011,18-525
2012,19-100
2013,19-104
2014,19-110
2015,19-111
2016,19-120
2017,19-122
2018,19-124
